series,x,value,lower,upper,unit,pixel_x,pixel_y,pixel_top,pixel_bottom
sleep_efficiency,0.0,90.432,88.381,92.266,percent,283,536,519,555
sleep_efficiency,4.073,88.381,86.978,89.892,percent,320,555,541,568
sleep_efficiency,8.037,80.827,79.424,82.23,percent,356,625,612,638
sleep_efficiency,12.0,77.482,73.489,81.475,percent,392,656,619,693
sleep_efficiency,15.963,75.108,71.115,78.885,percent,428,678,643,715
sleep_efficiency,20.037,88.165,86.115,90.108,percent,465,557,539,576
reaction_time_phase,0.0,16.944,6.944,27.222,ms_deviation,276,1040,1004,1077
reaction_time_phase,4.019,15.278,10.556,20.556,ms_deviation,311,1034,1017,1053
reaction_time_phase,8.038,-2.5,-5.833,0.833,ms_deviation,346,970,958,982
reaction_time_phase,12.057,-11.389,-16.111,-6.389,ms_deviation,381,938,921,956
reaction_time_phase,15.962,-16.667,-21.944,-11.389,ms_deviation,415,919,900,938
reaction_time_phase,19.981,-1.667,-5.278,2.222,ms_deviation,450,973,960,987
reaction_time_awake,3.333,-12.222,-16.944,-7.5,ms_deviation,798,935,918,952
reaction_time_awake,6.717,-1.944,-2.778,-0.833,ms_deviation,843,972,969,976
reaction_time_awake,9.95,1.389,-1.111,3.889,ms_deviation,886,984,975,993
reaction_time_awake,13.333,8.056,4.444,11.944,ms_deviation,931,1008,995,1022
melatonin,-0.112,246.688,,,pmol_per_litre,286,1728,,
melatonin,1.907,140.094,,,pmol_per_litre,304,1798,,
melatonin,3.925,53.297,,,pmol_per_litre,322,1855,,
melatonin,5.832,18.273,,,pmol_per_litre,339,1878,,
melatonin,7.963,22.841,,,pmol_per_litre,358,1875,,
melatonin,9.981,22.841,,,pmol_per_litre,376,1875,,
melatonin,11.888,6.091,,,pmol_per_litre,393,1886,,
melatonin,13.794,3.046,,,pmol_per_litre,410,1888,,
melatonin,15.925,56.342,,,pmol_per_litre,429,1853,,
melatonin,17.832,161.413,,,pmol_per_litre,446,1784,,
melatonin,19.963,268.007,,,pmol_per_litre,465,1714,,
melatonin,21.757,303.03,,,pmol_per_litre,481,1691,,
temperature,0.112,36.703,,,celsius,288,2149,,
temperature,2.019,36.764,,,celsius,305,2129,,
temperature,3.925,36.885,,,celsius,322,2089,,
temperature,5.944,37.003,,,celsius,340,2050,,
temperature,7.85,37.085,,,celsius,357,2023,,
temperature,9.981,37.133,,,celsius,376,2007,,
temperature,11.888,37.155,,,celsius,393,2000,,
temperature,13.794,37.155,,,celsius,410,2000,,
temperature,15.813,37.106,,,celsius,428,2016,,
temperature,17.832,37.003,,,celsius,446,2050,,
temperature,19.85,36.858,,,celsius,464,2098,,
temperature,21.869,36.739,,,celsius,482,2137,,
