time_h,control_percent_p_kaic,advance_pulse_percent_p_kaic,refractory_pulse_percent_p_kaic
14,28.93,28.95,34.21
16,26.59,24.53,31.05
18,25.86,22.77,26.87
20,26.41,24.95,30.99
22,35.62,33.02,38.45
24,46.38,42.05,46.02
26,51.44,48.83,50.86
28,56.96,45.91,53.21
30,56.58,39.37,52.57
32,55.48,38.33,47.35
34,52.11,33.98,41.85
36,46.64,30.89,35.91
38,34.74,33.18,30.38
40,33.65,38.28,24.29
42,32.53,41.37,24.34
44,30.47,43.76,33.85
46,35.55,46.00,37.32
48,38.82,47.43,42.49
50,44.54,44.62,45.24
52,48.97,39.06,50.10
54,50.58,35.59,49.71
56,48.64,31.73,49.99
58,43.32,29.52,46.28
60,37.92,29.19,41.49
