rxn_set,day_length,time_hrs,percent_KaiC_phosphorylation
1,6,6,42.40691
1,6,8,32.881164
1,6,10,26.549802
1,6,12,30.027519
1,6,14,19.013106
1,6,16,22.314744
1,6,18,18.730333
1,6,20,22.268532
1,6,22,22.295958
1,6,24,29.382436
1,6,26,44.448093
1,6,28,56.842072
1,6,30,57.980027
1,6,32,49.646996
1,6,34,32.018223
1,6,36,29.256011
1,6,38,18.798992
1,6,40,11.799789
1,6,42,8.690629
1,6,44,9.762083
1,6,46,9.891987
1,6,48,19.877935
1,6,50,38.144441
1,6,52,52.764144
1,6,54,53.469061
1,6,56,40.083504
1,6,58,34.455987
1,6,60,24.933556
1,6,62,13.102916
1,6,64,13.654264
1,6,66,7.759311
1,6,68,8.845209
1,6,70,11.378958
1,6,72,21.349536
2,8,6,38.371055
2,8,8,49.175076
2,8,10,40.361754
2,8,12,36.080735
2,8,14,29.08853
2,8,16,24.593699
2,8,18,15.702085
2,8,20,12.855554
2,8,22,15.780571
2,8,24,15.20192
2,8,26,25.018473
2,8,28,48.865031
2,8,30,62.596671
2,8,32,65.089299
2,8,34,46.257906
2,8,36,37.579393
2,8,38,26.322265
2,8,40,17.890605
2,8,42,13.093378
2,8,44,10.013197
2,8,46,8.341055
2,8,48,10.008432
2,8,50,27.146174
2,8,52,49.722528
2,8,54,54.963845
2,8,56,51.224585
2,8,58,39.004945
2,8,60,30.057293
2,8,62,25.764878
2,8,64,15.666225
2,8,66,11.253735
2,8,68,8.745175
2,8,70,7.042147
2,8,72,4.271415
3,10,6,40.8523
3,10,8,50.894267
3,10,10,55.951878
3,10,12,46.255315
3,10,14,36.103682
3,10,16,28.75948
3,10,18,24.888411
3,10,20,15.714809
3,10,22,10.5989
3,10,24,13.668787
3,10,26,16.387185
3,10,28,34.926816
3,10,30,55.781269
3,10,32,65.627373
3,10,34,61.861197
3,10,36,50.306169
3,10,38,34.705261
3,10,40,25.53379
3,10,42,16.934052
3,10,44,12.818742
3,10,46,9.542857
3,10,48,4.875652
3,10,50,22.485833
3,10,52,43.416024
3,10,54,51.908255
3,10,56,52.66532
3,10,58,50.455617
3,10,60,38.74959
3,10,62,28.448152
3,10,64,21.516422
3,10,66,18.1808
3,10,68,11.800362
3,10,70,6.142326
3,10,72,12.433981
4,12,6,41.032315
4,12,8,46.372061
4,12,10,53.838593
4,12,12,61.326361
4,12,14,45.877687
4,12,16,42.648634
4,12,18,27.384483
4,12,20,13.677265
4,12,22,17.41504
4,12,24,5.051603
4,12,26,11.310639
4,12,28,21.328513
4,12,30,40.946027
4,12,32,54.70211
4,12,34,63.813553
4,12,36,61.528597
4,12,38,40.801686
4,12,40,29.837344
4,12,42,20.026301
4,12,44,16.63293
4,12,46,12.463619
4,12,48,6.930333
4,12,50,14.987888
4,12,52,29.52905
4,12,54,37.559417
4,12,56,45.838449
4,12,58,48.578264
4,12,60,39.931164
4,12,62,30.933313
4,12,64,21.687605
4,12,66,12.525501
4,12,68,16.691094
4,12,70,9.615006
4,12,72,8.337948
5,14,6,37.473782
5,14,8,47.29878
5,14,10,56.666176
5,14,12,57.468972
5,14,14,57.770372
5,14,16,49.562758
5,14,18,31.520818
5,14,20,24.161748
5,14,22,18.038877
5,14,24,8.431199
5,14,26,6.483505
5,14,28,15.33076
5,14,30,27.415759
5,14,32,44.833295
5,14,34,55.313666
5,14,36,60.95141
5,14,38,50.261188
5,14,40,34.042653
5,14,42,25.302084
5,14,44,19.986791
5,14,46,14.6
5,14,48,9.99091
5,14,50,13.401842
5,14,52,27.524986
5,14,54,39.29543
5,14,56,53.090372
5,14,58,55.931832
5,14,60,52.519099
5,14,62,37.074086
5,14,64,30.558614
5,14,66,24.418392
5,14,68,16.47257
5,14,70,13.075842
5,14,72,11.465012
6,18,6,37.178291
6,18,8,49.866816
6,18,10,52.180967
6,18,12,53.097199
6,18,14,56.678222
6,18,16,47.096466
6,18,18,36.300462
6,18,20,29.718468
6,18,22,22.07515
6,18,24,13.205961
6,18,26,10.420627
6,18,28,11.46337
6,18,30,19.881657
6,18,32,36.996857
6,18,34,51.161451
6,18,36,54.845566
6,18,38,54.067517
6,18,40,40.654576
6,18,42,31.355889
6,18,44,24.808246
6,18,46,16.954155
6,18,48,11.328991
6,18,50,10.372661
6,18,52,20.402899
6,18,54,24.021416
6,18,56,39.685523
6,18,58,45.830572
6,18,60,49.205941
6,18,62,47.186937
6,18,64,33.375539
6,18,66,25.709439
6,18,68,24.565057
6,18,70,19.784469
6,18,72,14.210621
