day,window,start_frame,end_frame,mean_observations_per_frame,sd_observations_per_frame
3,0,47172,65171,0.00316667,0.05618397
3,1,65172,83171,0.00333333,0.05763872
3,2,83172,101171,0.01022222,0.10058692
3,3,101172,119171,0.01716667,0.13074477
3,4,119172,137171,0.03916667,0.21413748
3,5,137172,155171,0.02250000,0.15236788
3,6,155172,173171,0.02783333,0.18059400
3,7,173172,191171,0.03666667,0.21026438
3,8,191172,209171,0.02694444,0.16396679
3,9,209172,227171,0.01361111,0.11586996
3,10,227172,245171,0.03838889,0.21008904
3,11,245172,263171,0.02361111,0.15329081
3,12,263172,281171,0.04311111,0.22810156
3,13,281172,299171,0.03683333,0.19040593
3,14,299172,317171,0.01266667,0.11183122
3,15,317172,335171,0.04344444,0.20817013
3,16,335172,353171,0.01566667,0.12418221
3,17,353172,371171,0.01605556,0.12568920
3,18,371172,389171,0.01188889,0.12052104
3,19,389172,407171,0.03122222,0.17957560
3,20,407172,425171,0.01205556,0.10913395
3,21,425172,443171,0.02438889,0.15710812
3,22,443172,461171,0.01177778,0.10788448
3,23,461172,479171,0.01944444,0.13808098
5,0,61727,79726,0.00238889,0.04881785
5,1,79727,97726,0.01105556,0.10456257
5,2,97727,115726,0.05177778,0.23066849
5,3,115727,133726,0.08950000,0.30811393
5,4,133727,151726,0.07950000,0.31668732
5,5,151727,169726,0.12438889,0.38329661
5,6,169727,187726,0.18866667,0.47640366
5,7,187727,205726,0.20838889,0.49246169
5,8,205727,223726,0.09722222,0.32862179
5,9,223727,241726,0.11638889,0.38262001
5,10,241727,259726,0.15550000,0.42333041
5,11,259727,277726,0.17938889,0.46938218
5,12,277727,295726,0.18200000,0.48681322
5,13,295727,313726,0.13522222,0.41558988
5,14,313727,331726,0.18816667,0.50429706
5,15,331727,349726,0.19433333,0.49296281
5,16,349727,367726,0.10672222,0.35260827
5,17,367727,385726,0.13733333,0.39612793
5,18,385727,403726,0.12527778,0.38690356
5,19,403727,421726,0.09077778,0.33662286
5,20,421727,439726,0.06172222,0.26123921
5,21,439727,457726,0.07277778,0.28388780
5,22,457727,475726,0.10850000,0.34456893
5,23,475727,493726,0.05000000,0.22864334
5,24,493727,511726,0.06316667,0.25746408
5,25,511727,529726,0.00183333,0.04277817
7,0,35165,53164,0.00566667,0.07506368
7,1,53165,71164,0.04533333,0.21147734
7,2,71165,89164,0.12855556,0.38111842
7,3,89165,107164,0.20622222,0.49354180
7,4,107165,125164,0.33238889,0.72096838
7,5,125165,143164,0.40022222,0.78091112
7,6,143165,161164,0.33511111,0.75948117
7,7,161165,179164,0.35888889,0.76628896
7,8,179165,197164,0.36383333,0.76187836
7,9,197165,215164,0.42205556,0.85533112
7,10,215165,233164,0.47605556,0.93374039
7,11,233165,251164,0.55038889,1.05425849
7,12,251165,269164,0.53111111,1.05463469
7,13,269165,287164,0.48338889,1.05153415
7,14,287165,305164,0.42644444,0.88313244
7,15,305165,323164,0.40533333,0.83940084
7,16,323165,341164,0.39433333,0.77175925
7,17,341165,359164,0.42338889,0.96885824
7,18,359165,377164,0.36166667,0.79531790
7,19,377165,395164,0.37500000,0.76167761
7,20,395165,413164,0.35627778,0.74551215
7,21,413165,431164,0.24661111,0.56873609
7,22,431165,449164,0.33738889,0.80284346
7,23,449165,467164,0.25494444,0.66995273
7,24,467165,485164,0.23522222,0.56381977
7,25,485165,503164,0.12900000,0.40637025
7,26,503165,521164,0.17083333,0.47596029
7,27,521165,539164,0.06200000,0.25394750
7,28,539165,557164,0.06661111,0.27539197
7,29,557165,575164,0.04083333,0.21486268
8,0,17099,35098,0.00422222,0.06818240
8,1,35099,53098,0.00538889,0.07321099
8,2,53099,71098,0.01977778,0.13963427
8,3,71099,89098,0.05977778,0.25140484
8,4,89099,107098,0.15700000,0.41595392
8,5,107099,125098,0.19394444,0.48338735
8,6,125099,143098,0.24322222,0.56515352
8,7,143099,161098,0.20916667,0.48036372
8,8,161099,179098,0.21494444,0.52659176
8,9,179099,197098,0.23350000,0.54434464
8,10,197099,215098,0.25461111,0.53313107
8,11,215099,233098,0.36288889,0.81266399
8,12,233099,251098,0.32988889,0.76467567
8,13,251099,269098,0.31216667,0.73336877
8,14,269099,287098,0.27222222,0.64092429
8,15,287099,305098,0.23227778,0.59515855
8,16,305099,323098,0.34500000,0.80067853
8,17,323099,341098,0.29988889,0.72561085
8,18,341099,359098,0.39688889,1.00412001
8,19,359099,377098,0.26011111,0.66858722
8,20,377099,395098,0.31738889,0.73408133
8,21,395099,413098,0.21094444,0.57571424
8,22,413099,431098,0.19322222,0.54385318
8,23,431099,449098,0.32561111,0.77983593
8,24,449099,467098,0.15188889,0.48159087
8,25,467099,485098,0.24350000,0.60661811
8,26,485099,503098,0.15777778,0.46630409
8,27,503099,521098,0.11838889,0.37228374
8,28,521099,539098,0.12066667,0.39043508
8,29,539099,557098,0.12027778,0.39920745
8,30,557099,575098,0.07783333,0.29869675
8,31,575099,593098,0.08944444,0.31675389
8,32,593099,611098,0.06172222,0.25038045
9,0,12621,30620,0.05072222,0.23150361
9,1,30621,48620,0.12266667,0.40284764
9,2,48621,66620,0.18022222,0.51095548
9,3,66621,84620,0.24616667,0.66875654
9,4,84621,102620,0.29700000,0.78337723
9,5,102621,120620,0.44700000,1.01771634
9,6,120621,138620,0.36822222,0.85229830
9,7,138621,156620,0.37350000,0.80649997
9,8,156621,174620,0.42961111,0.96835534
9,9,174621,192620,0.60800000,1.36357471
9,10,192621,210620,0.45844444,1.10932703
9,11,210621,228620,0.32161111,0.67260659
9,12,228621,246620,0.52416667,1.13091623
9,13,246621,264620,0.36127778,0.94597424
9,14,264621,282620,0.54183333,1.20153835
9,15,282621,300620,0.50738889,1.18829984
9,16,300621,318620,0.47300000,1.20080709
9,17,318621,336620,0.37272222,0.88519949
9,18,336621,354620,0.34527778,0.80750296
