series,time_s,value,x_pixel,y_pixel
firefly_interval_ms,0.018,779.6639,136.12,241.75
firefly_interval_ms,0.994,762.5551,141.0,246.25
firefly_interval_ms,1.765,760.7899,144.86,246.71
firefly_interval_ms,2.772,773.6441,149.89,243.33
firefly_interval_ms,3.328,754.6344,152.67,248.33
firefly_interval_ms,4.036,765.0264,156.2,245.6
firefly_interval_ms,4.896,759.7037,160.5,247.0
firefly_interval_ms,5.53,769.2085,163.67,244.5
firefly_interval_ms,6.357,761.9848,167.8,246.4
firefly_interval_ms,7.158,777.1926,171.8,242.4
firefly_interval_ms,7.918,766.5472,175.6,245.2
firefly_interval_ms,8.839,720.1634,180.2,257.4
firefly_interval_ms,9.299,793.9212,182.5,238.0
firefly_interval_ms,10.033,781.8817,186.17,241.17
firefly_interval_ms,10.967,774.2778,190.83,243.17
firefly_interval_ms,11.841,784.7965,195.2,240.4
firefly_interval_ms,12.521,817.4933,198.6,231.8
firefly_interval_ms,13.502,778.7134,203.5,242.0
firefly_interval_ms,14.069,720.4168,206.33,257.33
firefly_interval_ms,14.722,823.5764,209.6,230.2
firefly_interval_ms,15.443,761.9848,213.2,246.4
firefly_interval_ms,16.404,761.6046,218.0,246.5
firefly_interval_ms,16.904,708.3773,220.5,260.5
firefly_interval_ms,17.764,792.4004,224.8,238.4
firefly_interval_ms,18.555,782.5154,228.75,241.0
firefly_interval_ms,19.572,767.73,233.83,244.89
firefly_interval_ms,20.829,770.6871,240.11,244.11
firefly_interval_ms,24.008,754.0007,256.0,248.5
firefly_interval_ms,25.132,757.6564,261.62,247.54
firefly_interval_ms,25.988,735.6246,265.89,253.33
firefly_interval_ms,26.93,798.4836,270.6,236.8
firefly_interval_ms,27.711,776.8124,274.5,242.5
firefly_interval_ms,28.251,723.2049,277.2,256.6
firefly_interval_ms,29.372,750.579,282.8,249.4
firefly_interval_ms,30.012,886.2543,286.0,213.71
firefly_interval_ms,30.573,760.464,288.8,246.8
firefly_interval_ms,31.513,757.8027,293.5,247.5
firefly_interval_ms,32.114,769.2085,296.5,244.5
firefly_interval_ms,32.814,742.5949,300.0,251.5
firefly_interval_ms,33.915,754.0007,305.5,248.5
firefly_interval_ms,34.437,772.3768,308.11,243.67
