original_pair,new_pair,receiver,source,coupling,coupling_lower,coupling_upper,phase_offset,phase_offset_lower,phase_offset_upper
12,14,LF,RH,1.06,0.92,1.22,3.14,2.85,3.45
34,23,RF,LH,0.86,0.69,1.04,3.03,2.71,3.43
13,12,LF,RF,2.95,2.86,3.07,3.12,3.03,3.22
31,21,RF,LF,3.05,2.95,3.16,3.02,2.93,3.12
14,13,LF,LH,2.03,1.92,2.16,3.28,3.12,3.44
32,24,RF,RH,1.87,1.75,1.98,3.45,3.29,3.63
21,41,RH,LF,0.93,0.71,1.16,1.84,1.70,2.02
43,32,LH,RF,0.96,0.79,1.16,2.19,1.98,2.42
23,42,RH,RF,2.75,2.68,2.84,2.90,2.80,3.00
41,31,LH,LF,2.83,2.74,2.91,2.85,2.75,2.95
24,43,RH,LH,2.15,2.01,2.32,2.73,2.61,2.85
42,34,LH,RH,2.15,2.03,2.29,2.90,2.76,3.06
